省份,地级市,县/区,纬度,经度,海拔(m),最优倾角辐射量(kWh/m²年),最佳倾角(°),预测系统效率,预测年发电量(kWh/kWp),水平面总辐射(kWh/m²年),直接辐射(kWh/m²年),散射辐射(kWh/m²年),散射辐射比例,年均温(°C),制冷度日数,供暖度日数,地形坡度(°),地形方位角(°),土地覆盖,人口密度
云南省,曲靖市,陆良县,25.0293,103.66671,1839,1729.21875,25,81.41%,1407.782837,1603.679688,1216.929688,804.2578125,0.5,15.125,355.0625,1394.8125,0.600000024,-1,333,840
云南省,曲靖市,师宗县,24.822471,103.985224,1854,1607.46875,23,81.62%,1311.984497,1513.375,1078.210938,788.6484375,0.5234375,14.5625,294.5625,1535.0625,0.899999976,-1,333,232
云南省,曲靖市,罗平县,24.865388,104.297124,1496,1454.710938,21,81.39%,1184.023804,1386.453125,873.59375,779.7265625,0.5625,15.875,523.4375,1297.1875,0.600000024,-1,305,342
云南省,曲靖市,富源县,25.674217,104.255082,1812,1521.945313,24,81.28%,1237.087891,1427.5,975.5,774.8359375,0.5390625,14.375,321.9375,1650.4375,1.600000024,-1,333,324
云南省,曲靖市,会泽县,26.417116,103.297155,2126,1721.75,29,82.05%,1412.744019,1571.828125,1297.085938,753.2109375,0.4765625,14.0625,276.25,1708.75,2.5,331,333,49
云南省,曲靖市,宣威市,26.218956,104.104255,1961,1590.34375,26,81.83%,1301.300049,1475.804688,1067.226563,771.6328125,0.5234375,13.5625,261.875,1863.875,2.900000095,139.5,333,1808
云南省,玉溪市,红塔区,24.341215,102.540122,1648,1793.53125,26,80.49%,1443.687256,1658.554688,1296.71875,817.4375,0.4921875,17.3125,613.4375,861,2.299999952,-2,333,456
云南省,玉溪市,江川区,24.299441,102.748499,1725,1751.0625,26,81.00%,1418.338623,1621.078125,1242.476563,822.296875,0.5078125,16.9375,532.75,924.3125,0.5,-1,333,783
云南省,玉溪市,通海县,24.11114,102.725538,1855,1684.265625,25,82.18%,1384.194092,1592.828125,1189.703125,806.40625,0.5078125,16.25,420.5,1058.375,19.79999924,354.1000061,333,2611
云南省,玉溪市,华宁县,24.19322,102.928914,1619,1716.054688,25,80.69%,1384.623657,1594.695313,1180.015625,822.90625,0.515625,17.5625,673.3125,826.375,2.299999952,144.6000061,333,266
